,name,number_of_voters,panel_code,panel_name,tab,state_region
0,Tengku Zaihan Che Ku Abd Rahman (BN - UMNO),"39.1% (8,126)",N1,KUALA BESUT (P33),state,Terengganu
1,Azbi Salleh (PAS),"38.5% (7,983)",N1,KUALA BESUT (P33),state,Terengganu
2,Che Ku Hashim Che Ku Mat (PH - PPBM),"5.3% (1,095)",N1,KUALA BESUT (P33),state,Terengganu
3,Mohd Nurkhuzaini Ab Rahman (PAS),"40.1% (9,704)",N2,KOTA PUTERA (P33),state,Terengganu
4,Mohd Mahdi Musa (BN - UMNO),"35.2% (8,523)",N2,KOTA PUTERA (P33),state,Terengganu
5,Tengku Roslan Tengku Othman @ Tengku Ramli (PH - PKR),"6.2% (1,504)",N2,KOTA PUTERA (P33),state,Terengganu
6,Muhammad Pehimi Yusof (BN - UMNO),"40.0% (9,143)",N3,JERTIH (P33),state,Terengganu
7,Wan Azhar Wan Ahmad (PAS),"33.9% (7,762)",N3,JERTIH (P33),state,Terengganu
8,Kamaruzaman Wan Su (PH - AMANAH),"7.0% (1,594)",N3,JERTIH (P33),state,Terengganu
9,Nawi Mohamad (BN - UMNO),"42.8% (8,045)",N4,HULU BESUT (P33),state,Terengganu
10,Mat Daik Mohamad (PAS),"35.0% (6,576)",N4,HULU BESUT (P33),state,Terengganu
11,Ismail Abdul Kadir (PH - PPBM),4.6% (860),N4,HULU BESUT (P33),state,Terengganu
12,Azman Ibrahim (PAS),"40.2% (8,061)",N5,JABI (P34),state,Terengganu
13,Mohd Iskandar Jaafar (BN - UMNO),"39.9% (8,006)",N5,JABI (P34),state,Terengganu
14,Abd Rahman @ Abdul Aziz Abas (PH - AMANAH),3.4% (690),N5,JABI (P34),state,Terengganu
15,Abd Halim Jusoh (BN - UMNO),"43.6% (10,385)",N6,PERMAISURI (P34),state,Terengganu
16,Zul Bhari A Rahman (PAS),"35.3% (8,415)",N6,PERMAISURI (P34),state,Terengganu
17,Wan Mokhtar Wan Ibrahim (PH - PKR),3.6% (853),N6,PERMAISURI (P34),state,Terengganu
18,Sabri Mohd Noor (BN - UMNO),"49.2% (9,007)",N7,LANGKAP (P34),state,Terengganu
19,Azmi Maarof (PAS),"30.4% (5,561)",N7,LANGKAP (P34),state,Terengganu
20,Mustaffa Abdullah (PH - PPBM),3.2% (583),N7,LANGKAP (P34),state,Terengganu
21,Bazlan Abd Rahman (BN - UMNO),"41.7% (10,046)",N8,BATU RAKIT (P34),state,Terengganu
22,Mohd Shafizi Ismail (PAS),"40.5% (9,747)",N8,BATU RAKIT (P34),state,Terengganu
23,Amir Long (PH - PPBM),3.3% (800),N8,BATU RAKIT (P34),state,Terengganu
24,Hishamuddin Abdul Karim (PAS),"46.7% (10,782)",N9,TEPUH (P35),state,Terengganu
25,Basir Ismail (BN - UMNO),"34.9% (8,065)",N9,TEPUH (P35),state,Terengganu
26,Wan Hafizie Suzlie Wan Hassan (PH - PPBM),"4.3% (1,002)",N9,TEPUH (P35),state,Terengganu
27,Ridzuan Hashim (PAS),"51.4% (11,580)",N10,BULUH GADING (P35),state,Terengganu
